scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
,"17912 Sotile Dr, Baton Rouge, LA 70809",,3,,20.00,100.00,350.00,1,1
,"17912 Sotile Dr, Baton Rouge, LA 70809",,3,,20.00,100.00,350.00,1,1
,"17912 Sotile Dr, Baton Rouge, LA 70809",,3,,20.00,100.00,350.00,1,1
,"17912 Sotile Dr, Baton Rouge, LA 70809",,3,,20.00,100.00,350.00,1,1
2026-07-03T18:20:34Z,"17912 Sotile Dr, Baton Rouge, LA 70809",Truck + Trailer,3,,20.00,100.00,350.00,1,1
2026-07-03T18:57:51Z,"17912 Sotile Dr, Baton Rouge, LA 70809",Truck + Trailer,3,,20.00,100.00,350.00,1,1
2026-07-04T01:43:08Z,"17912 Sotile Dr, Baton Rouge, LA 70809",Truck + Trailer,3,,20.00,100.00,350.00,1,1
