scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
,"7875 Greenwell Springs Rd, Baton Rouge, LA 70814",Bobtail / Box Truck,2,,50.00,150.00,500.00,2,5
,"7875 Greenwell Springs Rd, Baton Rouge, LA 70814",Bobtail / Box Truck,2,,50.00,150.00,500.00,2,5
,"7875 Greenwell Springs Rd, Baton Rouge, LA 70814",Bobtail / Box Truck,2,,50.00,150.00,500.00,2,5
,"7875 Greenwell Springs Rd, Baton Rouge, LA 70814",Bobtail / Box Truck,2,,50.00,150.00,500.00,2,5
2026-07-03T18:20:34Z,"7875 Greenwell Springs Rd, Baton Rouge, LA 70814",Bobtail / Box Truck,2,,50.00,150.00,500.00,2,5
