scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
2026-07-04T02:57:29Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T03:59:22Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T06:38:09Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T09:57:00Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T11:19:56Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T12:53:05Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T14:55:58Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T16:48:20Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T18:50:31Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T20:40:51Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-04T22:43:34Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T01:43:15Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T05:51:11Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T08:35:33Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T11:21:03Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T13:00:50Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T15:04:15Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T16:51:12Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T18:55:03Z,"1467 Court St, Port Allen, LA 70767",type 2 & type 3,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T20:09:18Z,"1467 Court St, Port Allen, LA 70767",Truck + Trailer,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T20:14:59Z,"1467 Court St, Port Allen, LA 70767",Truck + Trailer,10,,10,0,0.0,,25.00,100.00,250.00,0,
2026-07-05T20:43:53Z,"1467 Court St, Port Allen, LA 70767",Truck + Trailer,10,,10,0,0.0,,25.00,100.00,250.00,0,
