scraped_at_utc,state_slug,city_slug,listing_id,details_slug,url,status,vehicle_type,total_available,price_hourly_usd,price_daily_usd,price_weekly_usd,price_monthly_usd
2026-07-04T18:50:31Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-04T20:40:51Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-04T20:40:51Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-04T20:40:51Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-04T22:43:34Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-04T22:43:34Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-04T22:43:34Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T01:43:15Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T01:43:15Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T01:43:15Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T05:51:11Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T05:51:11Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T05:51:11Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T08:35:33Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T08:35:33Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T08:35:33Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T11:21:03Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T11:21:03Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T11:21:03Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T13:00:50Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T13:00:50Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T13:00:50Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T15:04:15Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T15:04:15Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T15:04:15Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T16:51:12Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T16:51:12Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T16:51:12Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
2026-07-05T18:55:03Z,louisiana,port-allen,15813,4747-river-road-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/4747-river-road-70767,1,Bobtail / Box Truck,15,,20.00,80.00,200.00
2026-07-05T18:55:03Z,louisiana,port-allen,15815,1956-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1956-court-st-70767,1,Bobtail / Box Truck,50,,20.00,80.00,200.00
2026-07-05T18:55:03Z,louisiana,port-allen,15817,1467-court-st-70767,https://truckparkingclub.com/truck-parking/louisiana/port-allen/1467-court-st-70767,1,type 2 & type 3,10,,25.00,100.00,250.00
